,name,ins_id,ticker,isin,instrument_type,market,country,sector,branch
0,AAK,2,AAK,SE0011337708,Aktie,Large Cap,Sverige,Dagligvaror,Livsmedel
1,ABB,3,ABB,CH0012221716,Aktie,Large Cap,Sverige,Industri,Industrimaskiner
2,Active Biotech,6,ACTI,SE0001137985,Aktie,Small Cap,Sverige,Hälsovård,Biotech
3,Addnode,7,ANOD B,SE0017885767,Aktie,Large Cap,Sverige,Informationsteknik,IT-Konsulter
4,Addtech,8,ADDT B,SE0014781795,Aktie,Large Cap,Sverige,Industri,Industrikomponenter
5,Alfa Laval,10,ALFA,SE0000695876,Aktie,Large Cap,Sverige,Industri,Industrikomponenter
6,Anoto,13,ANOT,SE0010415281,Aktie,Small Cap,Sverige,Informationsteknik,Elektronisk Utrustning
7,Arise Windpower,14,ARISE,SE0002095604,Aktie,Mid Cap,Sverige,Kraftförsörjning,Vindkraft
8,Assa Abloy,17,ASSA B,SE0007100581,Aktie,Large Cap,Sverige,Industri,Byggmaterial
9,AstraZeneca,18,AZN,GB0009895292,Aktie,Large Cap,Sverige,Hälsovård,Läkemedel
10,Atlas Copco A,19,ATCO A,SE0017486889,Aktie,Large Cap,Sverige,Industri,Industrimaskiner
11,Atrium Ljungberg,20,ATRLJ B,SE0000191827,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
12,Autoliv,21,ALIV SDB,SE0000382335,Aktie,Large Cap,Sverige,Sällanköpsvaror,Bil & Motor
13,Avanza Bank,22,AZA,SE0012454072,Aktie,Large Cap,Sverige,Finans & Fastighet,Nischbanker
14,Axfood,24,AXFO,SE0006993770,Aktie,Large Cap,Sverige,Dagligvaror,Livsmedelsbutiker
15,Bergman & Beving,26,BERG B,SE0000101362,Aktie,Mid Cap,Sverige,Industri,Industrikomponenter
16,BE Group,27,BEGR,SE0008321921,Aktie,Small Cap,Sverige,Industri,Industrikomponenter
17,Beijer Ref,28,BEIJ B,SE0015949748,Aktie,Large Cap,Sverige,Industri,Installation & VVS
18,Beijer Alma,29,BEIA B,SE0011090547,Aktie,Mid Cap,Sverige,Industri,Industrikomponenter
19,Ependion,30,EPEN,SE0000671711,Aktie,Mid Cap,Sverige,Informationsteknik,Datorer & Hårdvara
20,Bergs Timber,31,BRG B,SE0018012932,Aktie,Small Cap,Sverige,Material,Skogsbolag
21,Betsson,32,BETS B,SE0019892167,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Betting & Casino
22,Bilia,33,BILI A,SE0009921588,Aktie,Large Cap,Sverige,Sällanköpsvaror,Bil & Motor
23,Billerud,34,BILL,SE0000862997,Aktie,Large Cap,Sverige,Material,Skogsbolag
24,BioGaia,35,BIOG B,SE0017769995,Aktie,Mid Cap,Sverige,Dagligvaror,Hälsoprodukter
25,Bioinvent,36,BINV,SE0015244520,Aktie,Mid Cap,Sverige,Hälsovård,Biotech
26,Biotage,37,BIOT,SE0000454746,Aktie,Large Cap,Sverige,Hälsovård,Medicinsk Utrustning
27,Björn Borg,38,BORG,SE0020050805,Aktie,Small Cap,Sverige,Sällanköpsvaror,Kläder & Skor
28,Boliden,40,BOL,SE0020050417,Aktie,Large Cap,Sverige,Material,Gruv - Industrimetaller
29,Bong Ljungdahl,41,BONG,SE0000396061,Aktie,Small Cap,Sverige,Material,Förpackning
30,Brinova Fastigheter,42,BRIN B,SE0008347652,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
31,BTS Group,43,BTS B,SE0000805426,Aktie,Mid Cap,Sverige,Industri,Affärskonsulter
32,Bure Equity,44,BURE,SE0000195810,Aktie,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
33,Byggmax,45,BMAX,SE0003303627,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Detaljhandel
34,Castellum,46,CAST,SE0000379190,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
35,Catena,47,CATE,SE0001664707,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
36,Nelly Group,48,NELLY,SE0015245535,Aktie,Small Cap,Sverige,Sällanköpsvaror,Kläder & Skor
37,CellaVision,49,CEVI,SE0000683484,Aktie,Mid Cap,Sverige,Hälsovård,Medicinsk Utrustning
38,Clas Ohlson,51,CLAS B,SE0000584948,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Detaljhandel
39,Cloetta,52,CLA B,SE0002626861,Aktie,Mid Cap,Sverige,Dagligvaror,Livsmedel
40,Concordia Maritime,54,CCOR B,SE0000102824,Aktie,Small Cap,Sverige,Energi,Olja & Gas - Transport
41,Concejo B,56,CNCJO B,SE0000236382,Aktie,Small Cap,Sverige,Informationsteknik,Säkerhet & Bevakning
42,Corem Property A,57,CORE A,SE0010714279,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
43,CTT Systems,58,CTT,SE0000418923,Aktie,Mid Cap,Sverige,Industri,Installation & VVS
44,Diamyd Medical,62,DMYD B,SE0005162880,Aktie,First North,Sverige,Hälsovård,Biotech
45,Diös Fastigheter,63,DIOS,SE0001634262,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
46,Doro,64,DORO,SE0000215493,Aktie,Small Cap,Sverige,Sällanköpsvaror,Hemelektronik
47,Duni,65,DUNI,SE0000616716,Aktie,Mid Cap,Sverige,Dagligvaror,Hygienprodukter
48,Duroc,66,DURC B,SE0000331266,Aktie,Small Cap,Sverige,Industri,Industrikomponenter
49,Eastnine,67,EAST,SE0002158568,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
50,Elanders,68,ELAN B,SE0000119299,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Media & Publicering
51,Elon,69,ELON,SE0001572520,Aktie,Small Cap,Sverige,Sällanköpsvaror,Hemelektronik
52,Electrolux B,70,ELUX B,SE0016589188,Aktie,Large Cap,Sverige,Sällanköpsvaror,Hemelektronik
53,Elekta,71,EKTA B,SE0000163628,Aktie,Large Cap,Sverige,Hälsovård,Medicinsk Utrustning
54,Elos Medtech,72,ELOS B,SE0000120776,Aktie,Mid Cap,Sverige,Hälsovård,Medicinsk Utrustning
55,Enea,73,ENEA,SE0009697220,Aktie,Mid Cap,Sverige,Informationsteknik,IT-Konsulter
56,Eniro,74,ENRO,SE0011256312,Aktie,Small Cap,Sverige,Sällanköpsvaror,Marknadsföring
57,EnQuest,75,ENQ,GB00B635TG28,Aktie,Mid Cap,Sverige,Energi,Olja & Gas - Exploatering
58,Ericsson B,77,ERIC B,SE0000108656,Aktie,Large Cap,Sverige,Informationsteknik,Kommunikation
59,eWork,79,EWRK,SE0002402701,Aktie,Mid Cap,Sverige,Informationsteknik,IT-Konsulter
60,Fabege,80,FABG,SE0011166974,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
61,Fagerhult,81,FAG,SE0010048884,Aktie,Mid Cap,Sverige,Industri,Bygginredning
62,Fastpartner A,82,FPAR A,SE0013512506,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
63,Fast Balder,83,BALD B,SE0017832488,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
64,Fenix Outdoor,85,FOI B,CH0242214887,Aktie,Large Cap,Sverige,Sällanköpsvaror,Kläder & Skor
65,Fingerprint Cards,86,FING B,SE0008374250,Aktie,Mid Cap,Sverige,Informationsteknik,Biometri
66,Formpipe Software,87,FPIP,SE0001338039,Aktie,Small Cap,Sverige,Informationsteknik,Affärs- & IT-System
67,Getinge,88,GETI B,SE0000202624,Aktie,Large Cap,Sverige,Hälsovård,Hälsovård & Hjälpmedel
68,Havsfrun Investment,94,HAV B,SE0000312043,Aktie,Small Cap,Sverige,Finans & Fastighet,Investmentbolag
69,Heba,95,HEBA B,SE0017911480,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
70,Hennes & Mauritz,97,HM B,SE0000106270,Aktie,Large Cap,Sverige,Sällanköpsvaror,Kläder & Skor
71,Hexagon,98,HEXA B,SE0015961909,Aktie,Large Cap,Sverige,Industri,Mätning & Analys
72,Hexpol,99,HPOL B,SE0007074281,Aktie,Large Cap,Sverige,Material,Kemikalier
73,HMS Networks,101,HMS,SE0009997018,Aktie,Large Cap,Sverige,Informationsteknik,Kommunikation
74,Holmen B,102,HOLM B,SE0011090018,Aktie,Large Cap,Sverige,Material,Skogsbolag
75,Hufvudstaden A,103,HUFV A,SE0000170375,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
76,Husqvarna B,104,HUSQ B,SE0001662230,Aktie,Large Cap,Sverige,Sällanköpsvaror,Hemelektronik
77,I.A.R Systems,106,IAR B,SE0005851706,Aktie,Mid Cap,Sverige,Informationsteknik,Affärs- & IT-System
78,Image Systems,108,IS,SE0006421871,Aktie,Small Cap,Sverige,Informationsteknik,Affärs- & IT-System
79,Industrivärden C,109,INDU C,SE0000107203,Aktie,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
80,Indutrade,110,INDT,SE0001515552,Aktie,Large Cap,Sverige,Industri,Industrikomponenter
81,Rolling Optics,111,RO,SE0010520155,Aktie,First North,Sverige,Industri,Affärskonsulter
82,Intrum,112,INTRUM,SE0000936478,Aktie,Large Cap,Sverige,Finans & Fastighet,Kredit & Finansiering
83,Investor B,113,INVE B,SE0015811963,Aktie,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
84,ITAB Shop Concept,114,ITAB,SE0015962097,Aktie,Mid Cap,Sverige,Industri,Bygginredning
85,JM,116,JM,SE0000806994,Aktie,Large Cap,Sverige,Industri,Bostadsbyggnation
86,Kabe,117,KABE B,SE0000107724,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Bil & Motor
87,Kinnevik B,120,KINV B,SE0015810247,Aktie,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
88,KnowIT,122,KNOW,SE0000421273,Aktie,Mid Cap,Sverige,Informationsteknik,IT-Konsulter
89,Lagercrantz,124,LAGR B,SE0014990966,Aktie,Large Cap,Sverige,Industri,Elektroniska komponenter
90,Lammhults Design,125,LAMM B,SE0000386138,Aktie,Small Cap,Sverige,Industri,Bygginredning
91,Latour,126,LATO B,SE0010100958,Aktie,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
92,Lindab,127,LIAB,SE0001852419,Aktie,Large Cap,Sverige,Industri,Installation & VVS
93,Loomis,129,LOOMIS,SE0014504817,Aktie,Large Cap,Sverige,Industri,Säkerhet
94,Lundbergföretagen,130,LUND B,SE0000108847,Aktie,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
95,Lundin Mining,131,LUMI,CA5503721063,Aktie,Large Cap,Sverige,Material,Gruv - Prospekt & Drift
96,Orrön Energy,132,ORRON,SE0000825820,Aktie,Large Cap,Sverige,Kraftförsörjning,Förnybarenergi
97,Malmbergs Elektriska,134,MEAB B,SE0000507659,Aktie,Small Cap,Sverige,Industri,Elektroniska komponenter
98,Medivir,136,MVIR,SE0020181014,Aktie,Small Cap,Sverige,Hälsovård,Biotech
99,MEKO,137,MEKO,SE0002110064,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Bil & Motor
100,Mycronic,140,MYCR,SE0000375115,Aktie,Large Cap,Sverige,Informationsteknik,Elektronik & Tillverkning
101,Midsona B,141,MSON B,SE0000565228,Aktie,Small Cap,Sverige,Dagligvaror,Hälsoprodukter
102,Midway B,142,MIDW B,SE0000122673,Aktie,Small Cap,Sverige,Finans & Fastighet,Investmentbolag
103,Millicom,143,TIGO SDB,SE0001174970,Aktie,Large Cap,Sverige,Telekommunikation,Bredband & Telefoni
104,Stockwik Förvaltning,144,STWK,SE0012257970,Aktie,Small Cap,Sverige,Finans & Fastighet,Investmentbolag
105,Empir Group,147,EMPIR B,SE0010769182,Aktie,Small Cap,Sverige,Informationsteknik,IT-Konsulter
106,Modern Times Group B,148,MTG B,SE0018012494,Aktie,Large Cap,Sverige,Sällanköpsvaror,Media & Publicering
107,NAXS,150,NAXS,SE0001965369,Aktie,Small Cap,Sverige,Finans & Fastighet,Investmentbolag
108,NCC B,151,NCC B,SE0000117970,Aktie,Large Cap,Sverige,Industri,Byggnation & Infrastruktur
109,Nederman,152,NMAN,SE0011204510,Aktie,Mid Cap,Sverige,Industri,Installation & VVS
110,Net Insight,154,NETI B,SE0000366098,Aktie,Mid Cap,Sverige,Informationsteknik,Kommunikation
111,New Wave,155,NEWA B,SE0020356970,Aktie,Large Cap,Sverige,Sällanköpsvaror,Kläder & Skor
112,NIBE Industrier,156,NIBE B,SE0015988019,Aktie,Large Cap,Sverige,Industri,Installation & VVS
113,Nobia,157,NOBI,SE0000949331,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Möbler & Inredning
114,Nolato,158,NOLA B,SE0015962477,Aktie,Large Cap,Sverige,Material,Kemikalier
115,Nordea Bank,159,NDA SE,FI4000297767,Aktie,Large Cap,Sverige,Finans & Fastighet,Banker
116,Nordnet,161,SAVE,SE0015192067,Aktie,Large Cap,Sverige,Finans & Fastighet,Nischbanker
117,NOTE,162,NOTE,SE0001161654,Aktie,Mid Cap,Sverige,Informationsteknik,Elektronik & Tillverkning
118,Strax,163,STRAX,SE0012040459,Aktie,Small Cap,Sverige,Sällanköpsvaror,Fritid & Sport
119,Novotek,164,NTEK B,SE0000567752,Aktie,Small Cap,Sverige,Informationsteknik,Affärs- & IT-System
120,Vivesto,166,VIVE,SE0000722365,Aktie,Small Cap,Sverige,Hälsovård,Läkemedel
121,Logistea A,167,LOGI A,SE0017131329,Stocks2,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
122,OEM International,168,OEM B,SE0017766843,Aktie,Mid Cap,Sverige,Industri,Industrikomponenter
123,Orexo,170,ORX,SE0000736415,Aktie,Small Cap,Sverige,Hälsovård,Läkemedel
124,Ortivus B,172,ORTI B,SE0000123085,Aktie,Small Cap,Sverige,Hälsovård,Hälsovård & Hjälpmedel
125,Peab,175,PEAB B,SE0000106205,Aktie,Large Cap,Sverige,Industri,Byggnation & Infrastruktur
126,PION Group,177,PION B,SE0000567539,Aktie,Small Cap,Sverige,Industri,Bemanning
127,Precise Biometrics,178,PREC,SE0018013849,Aktie,Small Cap,Sverige,Informationsteknik,Biometri
128,Prevas,179,PREV B,SE0000356008,Aktie,Small Cap,Sverige,Informationsteknik,IT-Konsulter
129,Pricer,180,PRIC B,SE0000233934,Aktie,Mid Cap,Sverige,Informationsteknik,Elektronisk Utrustning
130,Proact IT,181,PACT,SE0015961222,Aktie,Mid Cap,Sverige,Informationsteknik,IT-Konsulter
131,Probi,182,PROB,SE0001280355,Aktie,Mid Cap,Sverige,Dagligvaror,Livsmedel
132,ProfilGruppen,184,PROF B,SE0000393860,Aktie,Small Cap,Sverige,Industri,Industrikomponenter
133,Ratos B,185,RATO B,SE0000111940,Aktie,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
134,RaySearch Laboratories,186,RAY B,SE0000135485,Aktie,Mid Cap,Sverige,Hälsovård,Medicinsk Utrustning
135,Rejlers,188,REJL B,SE0000123671,Aktie,Mid Cap,Sverige,Industri,Affärskonsulter
136,Coala-life,189,COALA,SE0017083983,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
137,Rottneros,191,RROS,SE0000112252,Aktie,Mid Cap,Sverige,Material,Skogsbolag
138,Saab,193,SAAB B,SE0000112385,Aktie,Large Cap,Sverige,Industri,Militär & Försvar
139,Sagax A,194,SAGA A,SE0004635878,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
140,Sandvik,195,SAND,SE0000667891,Aktie,Large Cap,Sverige,Industri,Industrimaskiner
141,SAS,196,SAS,SE0003366871,Aktie,Mid Cap,Sverige,Industri,Flygtransport
142,SCA B,197,SCA B,SE0000112724,Aktie,Large Cap,Sverige,Material,Skogsbolag
143,SEB A,199,SEB A,SE0000148884,Aktie,Large Cap,Sverige,Finans & Fastighet,Banker
144,Sectra,200,SECT B,SE0018245953,Aktie,Large Cap,Sverige,Hälsovård,Medicinsk Utrustning
145,Securitas,201,SECU B,SE0000163594,Aktie,Large Cap,Sverige,Industri,Säkerhet
146,Sensys Gatso,203,SGG,SE0020356244,Aktie,Small Cap,Sverige,Informationsteknik,Säkerhet & Bevakning
147,Handelsbanken A,204,SHB A,SE0007100599,Aktie,Large Cap,Sverige,Finans & Fastighet,Banker
148,SinterCast,206,SINT,SE0000950982,Aktie,Small Cap,Sverige,Industri,Industrikomponenter
149,Skanska,207,SKA B,SE0000113250,Aktie,Large Cap,Sverige,Industri,Byggnation & Infrastruktur
150,SKF B,208,SKF B,SE0000108227,Aktie,Large Cap,Sverige,Industri,Industrikomponenter
151,SkiStar,209,SKIS B,SE0012141687,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Resor & Nöjen
152,Softronic,210,SOF B,SE0000323305,Aktie,Small Cap,Sverige,Informationsteknik,IT-Konsulter
153,SSAB A,211,SSAB A,SE0000171100,Stocks2,Large Cap,Sverige,Material,Gruv - Industrimetaller
154,Stora Enso R,212,STE R,FI0009007611,Aktie,Large Cap,Sverige,Material,Skogsbolag
155,Studsvik,213,SVIK,SE0000653230,Aktie,Small Cap,Sverige,Industri,Energi & Återvinning
156,Svedbergs,214,SVED B,SE0000407991,Aktie,Small Cap,Sverige,Sällanköpsvaror,Möbler & Inredning
157,Svolder B,215,SVOL B,SE0017161458,Aktie,Mid Cap,Sverige,Finans & Fastighet,Investmentbolag
158,Sweco B,216,SWEC B,SE0014960373,Aktie,Large Cap,Sverige,Industri,Affärskonsulter
159,Swedbank,217,SWED A,SE0000242455,Aktie,Large Cap,Sverige,Finans & Fastighet,Banker
160,Swedish Orphan Biovitrum,219,SOBI,SE0000872095,Aktie,Large Cap,Sverige,Hälsovård,Läkemedel
161,Systemair,221,SYSR,SE0016609499,Aktie,Large Cap,Sverige,Industri,Installation & VVS
162,Tele2 B,222,TEL2 B,SE0005190238,Aktie,Large Cap,Sverige,Telekommunikation,Bredband & Telefoni
163,Telia Company,223,TELIA,SE0000667925,Aktie,Large Cap,Sverige,Telekommunikation,Bredband & Telefoni
164,TietoEVRY,224,TIETOS,FI0009000277,Aktie,Large Cap,Sverige,Informationsteknik,IT-Konsulter
165,Traction,225,TRAC B,SE0000391716,Aktie,Mid Cap,Sverige,Finans & Fastighet,Investmentbolag
166,TradeDoubler,226,TRAD,SE0001552357,Aktie,Small Cap,Sverige,Sällanköpsvaror,Marknadsföring
167,Viking Supply,227,VSSAB B,SE0010820613,Aktie,First North,Sverige,Industri,Sjöfart & Rederi
168,Trelleborg,229,TREL B,SE0000114837,Aktie,Large Cap,Sverige,Material,Kemikalier
169,Kindred,231,KIND SDB,SE0007871645,Aktie,Large Cap,Sverige,Sällanköpsvaror,Betting & Casino
170,VBG Group,233,VBG B,SE0000115107,Aktie,Mid Cap,Sverige,Industri,Industrikomponenter
171,Rizzo Group,234,RIZZO B,SE0016276109,Aktie,Small Cap,Sverige,Sällanköpsvaror,Accessoarer
172,Vitrolife,235,VITR,SE0011205202,Aktie,Large Cap,Sverige,Hälsovård,Medicinsk Utrustning
173,Volvo B,236,VOLV B,SE0000115446,Aktie,Large Cap,Sverige,Industri,Industrimaskiner
174,VNV Global,237,VNV,SE0014428835,Aktie,Mid Cap,Sverige,Finans & Fastighet,Investmentbolag
175,Wallenstam,238,WALL B,SE0017780133,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
176,Wihlborgs Fastigheter,239,WIHL,SE0018012635,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
177,XANO Industri,240,XANO B,SE0018014151,Aktie,Mid Cap,Sverige,Industri,Industrikomponenter
178,AFRY,241,AFRY,SE0005999836,Aktie,Large Cap,Sverige,Industri,Affärskonsulter
179,Öresund,242,ORES,SE0008321608,Aktie,Mid Cap,Sverige,Finans & Fastighet,Investmentbolag
180,Karolinska Development,243,KDEV,SE0002190926,Aktie,Small Cap,Sverige,Finans & Fastighet,Investmentbolag
181,Boule Diagnostics,244,BOUL,SE0011231158,Aktie,Small Cap,Sverige,Hälsovård,Medicinsk Utrustning
182,Dedicare,245,DEDI,SE0003909282,Aktie,Small Cap,Sverige,Industri,Bemanning
183,Moberg Pharma,246,MOB,SE0020353928,Aktie,Small Cap,Sverige,Hälsovård,Läkemedel
184,Concentric,247,COIC,SE0003950864,Aktie,Mid Cap,Sverige,Industri,Industrikomponenter
185,Cavotec,248,CCC,CH0136071542,Aktie,Mid Cap,Sverige,Industri,Industrimaskiner
186,Nokia,249,NOKIA SEK,FI0009000681,Aktie,Large Cap,Sverige,Informationsteknik,Kommunikation
187,Micro Systemation,251,MSAB B,SE0000526626,Aktie,Small Cap,Sverige,Informationsteknik,Elektronisk Utrustning
188,Vitec Software,252,VIT B,SE0007871363,Aktie,Large Cap,Sverige,Informationsteknik,Affärs- & IT-System
189,Bulten,254,BULTEN,SE0003849223,Aktie,Mid Cap,Sverige,Industri,Industrikomponenter
190,Moment Group,255,MOMENT,SE0020388932,Aktie,Small Cap,Sverige,Sällanköpsvaror,Resor & Nöjen
191,ADDvise Group A,257,ADDV A,SE0001306119,Stocks2,First North,Sverige,Hälsovård,Hälsovård & Hjälpmedel
192,Africa Oil,258,AOI,CA00829Q1019,Aktie,Mid Cap,Sverige,Energi,Olja & Gas - Exploatering
193,Arctic Minerals,262,ARCT,SE0000697948,Aktie,First North,Sverige,Material,Gruv - Guld & Silver
194,Avensia,263,AVEN,SE0000671745,Aktie,First North,Sverige,Informationsteknik,Betalning & E-handel
195,Avtech,264,AVT B,SE0004270445,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
196,Bredband2,268,BRE2,SE0000648669,Aktie,First North,Sverige,Telekommunikation,Bredband & Telefoni
197,C-RAD,270,CRAD B,SE0002016352,Aktie,Small Cap,Sverige,Hälsovård,Medicinsk Utrustning
198,Catella B,274,CAT B,SE0000188518,Aktie,Mid Cap,Sverige,Finans & Fastighet,Kapitalförvaltning
199,Auriant Mining,275,AUR,SE0001337213,Aktie,First North,Sverige,Material,Gruv - Guld & Silver
200,Nordic LEVEL,277,LEVEL,SE0012313302,Aktie,First North,Sverige,Industri,Säkerhet
201,Creades,278,CRED A,SE0015661236,Aktie,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
202,DistIT,282,DIST,SE0003883800,Aktie,First North,Sverige,Informationsteknik,Datorer & Hårdvara
203,Diadrom,283,DIAH,SE0001606906,Aktie,First North,Sverige,Informationsteknik,IT-Konsulter
204,Dignitana,285,DIGN,SE0002108001,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
205,Drillcon,287,DRIL,SE0001770702,Aktie,First North,Sverige,Material,Gruv - Service
206,Ellen,288,ELN,SE0014730347,Aktie,First North,Sverige,Hälsovård,Biotech
207,Kakel Max,289,KAKEL,SE0009921075,Aktie,First North,Sverige,Industri,Byggmaterial
208,Eolus Vind,291,EOLU B,SE0007075056,Aktie,Mid Cap,Sverige,Kraftförsörjning,Vindkraft
209,EnergyO Solutions,292,EOS,SE0002016261,Aktie,First North,Sverige,Kraftförsörjning,Elförsörjning
210,Episurf Medical,293,EPIS B,SE0003491562,Aktie,Small Cap,Sverige,Hälsovård,Medicinsk Utrustning
211,Firefly,295,FIRE,SE0000395428,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
212,Arcario,296,ARCA,SE0007614722,Aktie,First North,Sverige,Informationsteknik,Betalning & E-handel
213,Generic Sweden,297,GENI,SE0001790791,Aktie,First North,Sverige,Informationsteknik,Säkerhet & Bevakning
214,Genovis,298,GENO,SE0002485979,Aktie,First North,Sverige,Hälsovård,Biotech
215,Binero Group,299,BINERO,SE0005249570,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
216,Götenehus Group,300,GHUS B,SE0001799636,Aktie,First North,Sverige,Industri,Bostadsbyggnation
217,Hansa Biopharma,301,HNSA,SE0002148817,Aktie,Mid Cap,Sverige,Hälsovård,Biotech
218,Stendörren Fastigheter,302,STEF B,SE0006543344,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
219,Hifab,303,HIFA B,SE0000483943,Aktie,First North,Sverige,Industri,Affärskonsulter
220,Impact Coatings,304,IMPC,SE0001279142,Aktie,First North,Sverige,Industri,Industrimaskiner
221,Invisio,306,IVSO,SE0001200015,Aktie,Mid Cap,Sverige,Informationsteknik,Kommunikation
222,Northbaze,308,NBZ,SE0003204908,Aktie,First North,Sverige,Informationsteknik,Elektronisk Utrustning
223,JLT Mobile,309,JLT,SE0000725624,Aktie,First North,Sverige,Informationsteknik,Datorer & Hårdvara
224,Kancera,310,KAN,SE0015658570,Aktie,First North,Sverige,Hälsovård,Biotech
225,Copperstone,312,COPP B,SE0001915190,Aktie,First North,Sverige,Material,Gruv - Prospekt & Drift
226,Kopy Goldfields,313,KOPY,SE0002245548,Aktie,First North,Sverige,Material,Gruv - Guld & Silver
227,Lucara Diamond,316,LUC,CA54928Q1081,Aktie,Mid Cap,Sverige,Material,Gruv - Ädelstenar
228,Mackmyra,317,MACK B,SE0000731747,Aktie,First North,Sverige,Dagligvaror,Bryggeri
229,MedCap,318,MCAP,SE0009160872,Aktie,Mid Cap,Sverige,Hälsovård,Läkemedel
230,Misen Energy,321,MISE,SE0001486952,Aktie,First North,Sverige,Energi,Olja & Gas - Exploatering
231,NetJobs,322,NJOB,SE0001790346,Aktie,First North,Sverige,Industri,Bemanning
232,New Nordic Healthbrands,323,NNH,SE0001838038,Aktie,First North,Sverige,Dagligvaror,Hälsoprodukter
233,Nischer,324,NIS,SE0000308298,Aktie,NGM,Sverige,Finans & Fastighet,Fastighetsbolag
234,Online Brands Nordic,325,OBAB,SE0017133838,Aktie,First North,Sverige,Sällanköpsvaror,Accessoarer
235,Saxlund,331,SAXG,SE0008966014,Aktie,First North,Sverige,Industri,Energi & Återvinning
236,Egetis Therapeutics,332,EGTX,SE0003815604,Aktie,Small Cap,Sverige,Hälsovård,Biotech
237,Precio Fishbone,333,PRCO B,SE0000141137,Aktie,First North,Sverige,Informationsteknik,IT-Konsulter
238,Precomp Solutions,334,PCOM B,SE0006091724,Aktie,First North,Sverige,Industri,Industrikomponenter
239,ScandBook,339,SBOK,SE0003175660,Aktie,First North,Sverige,Sällanköpsvaror,Media & Publicering
240,ShaMaran,342,SNM,CA8193201024,Aktie,First North,Sverige,Energi,Olja & Gas - Exploatering
241,Ogunsen,343,OGUN B,SE0008406151,Aktie,First North,Sverige,Industri,Bemanning
242,Skåne-möllan,344,SKMO,SE0017885338,Aktie,First North,Sverige,Dagligvaror,Livsmedel
243,Stille,347,STIL,SE0000998650,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
244,TagMaster,348,TAGM B,SE0015950399,Aktie,First North,Sverige,Informationsteknik,Kommunikation
245,Tethys Oil,349,TETY,SE0020180917,Aktie,Mid Cap,Sverige,Energi,Olja & Gas - Exploatering
246,Unlimited Travel Group,352,UTG,SE0001834821,Aktie,First North,Sverige,Sällanköpsvaror,Resor & Nöjen
247,Nordic Flanges,354,NFGAB,SE0001994658,Aktie,First North,Sverige,Industri,Industrikomponenter
248,Vestum,355,VESTUM,SE0017134125,Aktie,Mid Cap,Sverige,Finans & Fastighet,Investmentbolag
249,Westpay,356,WPAY,SE0002169292,Aktie,First North,Sverige,Informationsteknik,Betalning & E-handel
250,Wise Group,357,WISE,SE0007277876,Aktie,Small Cap,Sverige,Industri,Bemanning
251,ALM Equity,364,ALM,SE0018741985,Aktie,First North,Sverige,Finans & Fastighet,Fastighetsbolag
252,Mangold,365,MANG,SE0001449380,Aktie,Mid Cap,Sverige,Finans & Fastighet,Kapitalförvaltning
253,Platzer Fastigheter,366,PLAZ B,SE0004977692,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
